"","x"
"1",9930.046
"2",3595.894
"3",24909.45
"4",7506.146
"5",289.7899
"6",4056.494
"7",0
"8",8472.158
"9",2164.022
"10",12418.07
"11",8173.908
"12",17094.64
"13",0
"14",18739.93
"15",3023.879
"16",3228.503
"17",14581.86
"18",7693.4
"19",10804.32
"20",10747.35
"21",0
"22",5149.501
"23",6408.95
"24",1991.4
"25",11163.17
"26",9642.999
"27",9897.049
"28",11142.87
"29",16218.04
"30",995.7002
"31",0
"32",6551.592
"33",1574.424
"34",0
"35",3191.753
"36",20505.93
"37",6181.88
"38",5911.551
"39",3094.156
"40",0
"41",1254.582
"42",13188.83
"43",8061.485
"44",2787.96
"45",3972.54
"46",0
"47",0
"48",0
"49",12187.41
"50",4843.176
"51",0
"52",8087.487
"53",0
"54",2348.973
"55",590.7818
"56",0
"57",1067.506
"58",7284.986
"59",13167.52
"60",1048.432
"61",0
"62",1923.938
"63",4666.236
"64",549.2984
"65",762.9146
"66",10694.29
"67",0
"68",0
"69",8546.715
"70",7479.656
"71",0
"72",647.2046
"73",0
"74",11965.81
"75",9598.541
"76",18783.35
"77",18678.08
"78",0
"79",23005.6
"80",6456.697
"81",0
"82",2321.107
"83",4941.849
"84",0
"85",0
"86",0
"87",3881.284
"88",17230.96
"89",8048.603
"90",0
"91",14509.93
"92",0
"93",0
"94",9983.784
"95",0
"96",5587.503
"97",4482.845
"98",2456.153
"99",0
"100",26817.6
"101",0
"102",9265.788
"103",485.2298
"104",4814.627
"105",7458.105
"106",0
"107",34099.28
"108",1953.268
"109",0
"110",0
"111",8881.665
"112",6210.67
"113",0
"114",929.8839
"115",0
"116",12558.02
"117",22163.25
"118",1652.637
"119",8124.715
"120",671.3318
"121",17814.98
"122",9737.154
"123",17685.18
"124",0
"125",4321.705
"126",1773.423
"127",0
"128",11233.26
"129",559.4432
"130",1085.44
"131",5445.2
"132",60307.93
"133",1460.36
"134",6943.342
"135",4032.708
"136",10363.27
"137",4232.309
"138",11141.39
"139",0
"140",13385.86
"141",4849.559
"142",0
"143",1660.508
"144",0
"145",2484.549
"146",4146.603
"147",9970.681
"148",0
"149",26372.28
"150",5615.189
"151",3196.571
"152",6167.681
"153",7535.942
"154",8484.239
"155",1294.409
"156",0
"157",5010.342
